id,username,joinDate,karmaPoints,isPremium,favoriteGenres
98ff565e-5ac4-463b-b1f5-ff381c9df4e8,johnsonjoshua_1924,2024-03-20,1639,False,Strategy;Adventure
76bd01c0-0992-45d3-8a44-1a986615b3f5,jillrhodes_1779,2025-08-03,44348,False,Horror
adab9f09-9753-43b7-8353-138851a4df9a,garzaanthony_7012,2023-09-01,2082,True,Strategy;Simulation
cd928578-5648-41d5-a64e-aaa51d9e8d50,jesseguzman_9963,2025-08-27,1739,False,Strategy;Sports;Horror;Shooter
9a092c15-0b18-45c2-8d10-38a06b34004c,jennifermiles_206,2025-01-19,49729,False,Puzzle;Shooter;Adventure;Strategy
989ba270-170c-45b7-a5f9-cd2b73b5f90e,shaneramirez_5614,2023-04-19,6698,True,Puzzle
4c443fbd-f2b4-48de-818e-73fdec4e4ba5,helenpeterson_5735,2023-12-06,39565,False,Platformer
4247acd9-62f6-4e57-8afb-3a10ab378c60,susanrogers_7627,2023-08-31,35142,True,RPG;Simulation;Shooter;Puzzle
09c16d3d-e61d-4da1-9e32-f495bcd5db41,wdavis_9559,2025-11-01,12601,False,Fighting
08fa82dc-0776-44a1-a1c5-09b9b4b337c2,lindsay78_3833,2023-10-19,18965,False,RPG;Racing
f1b303ff-afee-40f7-9050-a8d40d504582,smiller_4654,2025-12-10,29714,False,Adventure;Puzzle;Fighting
15fafc0b-cfcc-4d61-9e0a-d30bc3df0e32,barbara10_3532,2026-01-30,43920,False,Horror
5c00a2f0-e225-40df-9e7f-a47747348ee8,kendragalloway_2903,2024-04-04,35005,False,Sports;Racing
ccf44293-e3e8-440a-aacd-4cbd64fb9973,jamesshawn_4522,2024-10-26,41943,False,Fighting;Puzzle
e6261ca8-3e4b-4101-915c-e00b4ab574c0,mitchellclark_1016,2024-05-27,15010,False,Racing;Shooter;RPG
de862052-327a-481a-9b12-67a787cc3d07,lynchgeorge_3556,2024-04-23,37170,False,Strategy;Fighting;Sports
9f047414-6f72-417f-ba65-d0abce182698,stevennelson_6582,2025-12-28,42129,False,Adventure;Strategy;Simulation
caf1eb3b-0a45-4c80-b38d-cf21ec0f491e,gabriellecameron_8930,2023-07-04,17219,False,Horror;Racing;Puzzle;Strategy
84299dd4-f3db-459e-b91b-75361f283528,lydiatrujillo_2366,2024-12-22,33392,False,RPG
4e47aed0-a834-47e4-9195-ee6bb4276d02,carl95_2604,2024-03-04,41120,True,Horror;RPG;Racing;Platformer
056a3dd7-5a41-485f-9ec2-d3511a94eade,pfoster_9863,2025-03-21,30674,False,Fighting
b579ebd7-3174-43af-8fd5-2cc14168c805,josephwright_1976,2025-08-28,44676,False,Fighting;Puzzle;RPG
c14d8395-bda3-46b0-b23a-712175d51242,julie69_4908,2024-12-19,28492,True,Platformer
182b7471-8fa9-4d24-b71b-7a9d87523e71,jeffrey28_4415,2025-05-14,32806,False,Fighting
ac22775a-978a-41a1-80de-f4f9a96c21ad,camposmichelle_4989,2023-12-02,41874,False,Adventure;Puzzle
4769409b-1073-4d74-8b4b-b5d67b4652af,laurahenderson_2746,2023-07-16,35348,False,Horror
0baa6f8e-d21b-41b5-bef7-5dbdc5fe3bf3,djames_5410,2025-07-08,32021,True,Shooter;Strategy;Action
b62db1a8-77c9-49e5-86ed-318d6bd81ea1,tasha01_4046,2026-03-03,37182,False,Platformer
9b245aca-adec-4490-a6d1-f21ab536ba0c,kayla51_8062,2024-07-07,4535,False,Adventure;Fighting
b93dba80-8a59-4e03-a73b-e9c52a268708,amoore_7887,2024-05-22,36031,True,Strategy;Simulation;Platformer;Shooter
62e6b09b-fcd6-4343-a8ed-008abd431a23,williamrodriguez_6637,2025-12-05,44019,False,Simulation;Sports;RPG;Strategy
a3dccb83-73db-4aaa-aa30-e857349d5e4f,meagan89_3781,2024-02-11,4196,False,Horror;Strategy
1683c381-b74b-48d8-aafa-4bd24c6cb62b,nathanielmartin_217,2025-07-10,4652,False,Strategy
e37f888c-2618-498c-bffa-d86087776caa,georgetracy_1204,2023-09-29,2058,False,Simulation
49b700b0-8800-4c3c-9c18-876da041a75e,natasha43_3999,2023-07-07,18250,False,Simulation;Adventure
79ca0481-41d3-4698-b126-cbe7bf20d1db,nataliearroyo_9455,2023-08-20,37762,False,Racing;Strategy;RPG;Horror
3a39557c-0678-4ea8-9a69-bfcfd008ff7c,wcabrera_7162,2025-07-14,23219,False,Platformer;Action;RPG;Fighting
f80788cd-9959-4a95-affa-c18159c04d8f,davidalvarez_6696,2025-08-10,47724,False,Strategy
a6a54acc-7cf7-4b3e-b2af-ac5942584794,josephbrennan_3239,2025-01-25,12465,False,Racing;Adventure
9c02a81f-5f4c-4d43-b395-5879d9d22c78,sarahcampos_4663,2026-03-15,30318,False,Sports
3aa063cb-055b-49fa-aeed-eec44cf187f9,jenniferross_9116,2026-02-15,6416,True,RPG
f0ae601a-1fc6-4446-aca1-b0a644133dd9,samuel87_3972,2023-10-13,10899,False,Strategy;Racing;Action;Adventure
76134549-6de5-42ef-bad3-947d6b54f607,jeffreymorgan_6309,2025-10-08,141,False,Sports;Shooter;Racing
00d8a92f-8159-41eb-9ce1-304711c1a4f4,briannasmith_9205,2025-12-14,43376,False,Strategy;Shooter
257c1daf-13a7-4fd7-8dd3-01fba875baae,perezrebecca_3666,2024-09-03,3832,False,Platformer
b2b03067-7af6-4682-86c5-b3ed45dfd0f8,palmerjoshua_5238,2025-05-02,3746,True,Simulation;Platformer;Adventure;Action
36451c71-9535-460e-9cbb-1c6bd0244746,ambercummings_8420,2025-09-12,5250,False,Horror
d437f5fe-d945-4e11-bf74-b1d909d6164b,esanchez_1213,2024-12-31,44250,False,RPG;Horror;Strategy;Action
e2032d69-fe85-4f98-be03-9c9504779305,clintonhopkins_1443,2024-10-10,27474,False,Shooter;Strategy;Puzzle
f99d378d-ac55-4c66-9152-59cad211c93f,ujenkins_4010,2023-07-02,17407,False,Sports;Puzzle;RPG
604466e7-c2ee-43b8-8c33-ad4d6b9e6127,brownjessica_252,2023-09-25,30034,False,RPG
228310d0-f2a7-4eec-80c3-e6f12e0189a9,jamesherrera_8908,2023-11-12,13969,False,Puzzle;RPG
