user_id,community_id,joinedAt,role,isActive
ff4384d7-acdf-4d63-97f7-cf67d218e2d6,9fb805e9-dc77-4c28-9749-baaf8bf5f82f,2024-10-23,member,True
6d8bdf87-21a4-4f9d-af46-0f0eab3a3bcd,d32968bc-dee5-45a6-8f43-2aa9aaffcb55,2024-05-29,member,True
2068bcc1-61cf-4428-99f3-4021cc2d1206,c8c88c21-e201-4cba-84a6-6e3b030d469e,2025-09-22,member,False
6e435839-6910-49f5-8b10-e53dc9878b5f,ede1dd5e-aacc-4f8c-87b2-8ca8ad0f1a1c,2025-02-14,member,True
3f809751-3764-4487-a285-7762254212dd,c8a03ec4-318b-4f26-87fc-cb3421b830a7,2025-01-31,member,True
ee1a3653-0e4e-40b4-b76b-db54cceed987,b617ff47-0b81-47ae-89d1-cb4501ac83b4,2026-01-11,moderator,False
5ddf153f-743f-418e-840d-2214c0921b9f,f896eeb6-57fe-40aa-b017-9e4e1800aacc,2024-05-17,moderator,True
75917ebb-b154-4c70-aea7-7cbe6a43247e,cd24e511-9792-4148-8591-6861e45c4ab2,2025-02-16,member,True
5115ddd9-40ef-4060-badf-4fa988d6c2d0,8404dda1-8457-4f9a-b916-12010309f9bc,2024-10-31,member,True
81a1a2b6-fed2-4736-87ca-05350b4d68b0,c8c88c21-e201-4cba-84a6-6e3b030d469e,2025-06-07,member,True
27a1e750-694a-4a99-ab8f-7b9e8acd1dce,4abc194e-cbbe-4cdf-ad81-e897343784c1,2024-12-26,member,True
4444ee15-a816-4235-ab76-eab8ff0f21d3,b7875980-fb7c-4b4f-a839-5b6c5d2c10c2,2026-02-15,member,True
f699e053-a483-4ab4-aada-3f64c1653dce,f896eeb6-57fe-40aa-b017-9e4e1800aacc,2025-06-08,member,True
46205840-e62c-4f7c-9a74-5e64f7d58fb9,5c84755d-3700-4c74-874c-52bf7d624e3d,2025-09-18,member,True
19f119c2-2357-40e1-b3c3-6680b7efb9a6,866e0290-5862-4b05-b675-033ff9ccf0a5,2026-01-04,member,True
b34ff426-abcb-4256-8651-20180c9ea803,09f29c3c-2bb3-489d-b907-72fd61b408c5,2025-11-09,member,True
