post_id,community_id,postedAt,isPinned,approvedBy
d54b8e33-4085-4d7a-9a9e-bcec3f9b8340,3d8430a5-8d00-4e44-976c-656bf61f3c9f,2025-04-30,False,wendy11_3962
ef804482-3d2c-4160-abcb-74b0bf4788be,5c84755d-3700-4c74-874c-52bf7d624e3d,2025-11-28,False,rfriedman_2255
9bc7f50c-fe77-4bbe-956a-30f343cec8df,41d6bb01-e034-4ab5-a9a7-97e574c3b917,2025-06-16,False,robertssamuel_7463
56c70c2c-50e2-4255-b721-3155259a4354,b7875980-fb7c-4b4f-a839-5b6c5d2c10c2,2025-07-31,False,AutoMod
7d259880-a6e0-4b4f-93df-c52bf33821b1,1d90a469-adc9-42e4-8f93-fe11334bf80a,2026-02-26,False,johnsonjoshua_1924
330d2a6d-2688-43ef-aaff-03afbf532dfe,c8c88c21-e201-4cba-84a6-6e3b030d469e,2025-04-25,False,sanchezamy_6543
218f2c95-87ac-4f92-8453-3cea13d9f88f,41d6bb01-e034-4ab5-a9a7-97e574c3b917,2026-01-06,False,udavis_4482
03861b97-0ae6-4d60-9bca-54cba7c104aa,87cd43a7-eeec-4ea0-ac72-bee19bbac66e,2026-03-11,False,david96_5385
c17bc60d-c665-4abd-a20c-4ca93528ce06,6bc4bb63-e2f7-4cbb-8b2f-bbf19438a32f,2026-03-05,False,russellcarpenter_5196
a0cbf303-9e2b-4722-a0ea-627c8a4fb0cc,01608fe5-02a0-4a37-b395-51d252d3d8bd,2025-09-13,False,AutoMod
1e14b36d-7088-45ae-8eac-451717080c57,01608fe5-02a0-4a37-b395-51d252d3d8bd,2025-07-15,False,zbell_4539
cd730e7f-a475-49c8-a3d9-0219865f1267,55d33b27-0e71-483b-b756-bc5a57f45d73,2025-10-20,False,davidharris_8304
8b8deb0a-dbed-444b-8d2c-f8d30571f63d,01608fe5-02a0-4a37-b395-51d252d3d8bd,2026-02-08,False,hlopez_9609
b6d1f3c7-5d43-4678-bbeb-62f5dd228ac8,cac6c97e-45ab-4fe2-98cc-e0a2ceff6e76,2026-01-04,False,AutoMod
a3b6e862-36c9-4a4e-a7ca-b0ea447ba915,50edf8ea-f45b-4206-8b62-1d01f6cdc67f,2025-10-26,False,AutoMod
ac959ffd-4f72-4608-875e-651091854c6a,5c84755d-3700-4c74-874c-52bf7d624e3d,2026-01-30,False,AutoMod
34891a58-ba97-4f77-8ef8-f3d131444df7,4a0c2bb2-fe1f-4ad5-a224-7bc467dd1f1f,2025-05-23,False,elizabeth65_8982
bf611b5e-3d0c-4935-9b31-2356aff79a6d,87cd43a7-eeec-4ea0-ac72-bee19bbac66e,2026-01-06,False,qparker_4221
a58ea00c-d80f-4bdb-a1e8-b8a92428b6fb,ee3a1e87-b3c6-496f-b8b4-cb36f2f6ccbd,2026-01-03,False,kcarlson_1997
90bfefd6-410d-40d2-acee-e9f59656ddeb,ade1bbea-cc29-4372-ae30-2f39c86c3698,2026-03-07,False,kristy44_5095
87001558-5fca-424d-b43c-eec20bcda666,f06d9b12-4939-442a-9547-23fbbb34e2f0,2025-09-04,False,byrdjorge_3873
71908fbc-7ee2-40d3-9613-9edabd031653,cddc8f5d-0936-4c44-81ce-af3656c40efb,2025-10-30,False,AutoMod
22ef7ed8-5175-4fa1-ae63-db263d423b54,50edf8ea-f45b-4206-8b62-1d01f6cdc67f,2025-11-05,False,griffinemily_7226
a86edac5-a291-4dcf-b305-4660524b4d24,598a70b4-efbe-4db6-9d9e-4ac86c8608b5,2025-12-05,False,wcasey_9569
3e07e09f-f2ff-4bf8-9153-e7dc6f028ae5,55d33b27-0e71-483b-b756-bc5a57f45d73,2026-02-05,False,peter97_5664
29d474d7-d715-414c-bc2c-49b5b1a8d6e0,83a8fa37-2eec-4ba9-98ac-0361fc8c6235,2025-09-11,False,AutoMod
e3eab645-25a2-461a-8151-ceb2128fba35,50e04823-bc35-419d-ab8b-4b5df23afe0b,2025-05-29,False,braysteven_5378
612b7bdb-b648-49b1-ad77-7a0208d5d40c,ae248ea7-c44f-40f9-b673-a32d306a45ac,2025-10-24,False,patricia12_8851
