from_user_id,to_user_id,followedAt,notificationsOn,mutualFollow
9ea2959b-7778-457e-b629-687242d33cd8,c7eaecd7-6044-4dfe-8d6a-fc2fa0690a5c,2025-05-29,False,False
a35dadbe-f809-40fa-80cb-39a4c4cacb05,0a531d58-9cf2-492d-b83d-10490a4edff8,2025-09-12,True,False
32ee3a50-bbdb-4172-bf0b-d11889f18c28,4a6a36d1-c638-4ebf-9d08-ae77e4ce9da2,2025-10-25,False,False
15613e21-dd16-4f09-be41-4fe40bab6cc0,8401690b-8ecb-41fd-a2ca-e4eda719da6f,2026-03-18,True,False
75a0d15e-278b-4588-aa88-a493b4bfe7fe,4444ee15-a816-4235-ab76-eab8ff0f21d3,2024-09-24,False,False
eb294a62-3af4-4064-96b8-dc14d9938046,6602ae92-e795-459f-9265-fd7c43f6867d,2024-05-10,True,False
4d2ab13b-6626-44f3-86ca-5b3cc6002690,a058d919-5f0f-4898-9fe8-d71c64c968bf,2024-10-09,False,False
716be0b7-bbfa-4917-a7f1-96bc7dcc1821,8c58f53b-2fa1-4a26-83c7-6a73e454dbb1,2024-09-29,True,False
2dc3ca29-01e8-4667-9bee-bdc8e48f0736,e13b27d8-f02c-4012-ab85-13ec95ff4088,2024-12-29,False,False
18d7bd5e-1442-4172-8b63-840d71d53dd2,7fec781c-6baf-4106-8df3-867b54276c1d,2024-05-17,True,False
6834ec60-5ffd-4053-9abc-c5282284c07a,aebff468-00ab-43c0-bdbe-0f3f21d0782a,2024-04-29,False,False
0fc28909-ae22-4a20-bc9a-39ee4896c8aa,1b4eb6c9-ef78-4631-af04-6b3af545402a,2024-09-21,False,False
4821375d-39fa-415f-8497-330446576730,7f218c7d-4e73-4f74-94a9-5a0e2c548e0e,2025-03-18,True,False
bf72669a-3da6-4c03-9655-a5deb4638d0f,dbb449b7-7bc4-41f0-8f2f-533ed1906a98,2025-01-31,False,False
8175ec27-125b-4c1d-834e-688eb16bb7ed,2db88114-915b-43ba-9d1c-9324b815e037,2025-02-07,True,False
fdc43e4b-30bf-450d-a5eb-38dac1d24b74,c9fc80b3-dfe4-45f7-a631-beda3cbf44d5,2024-05-08,False,False
6777235e-07aa-456d-b657-64f5537ced36,d65235cf-1c9c-4b55-b75a-8fb2c7372b2e,2024-05-04,True,False
fd34c4a1-0693-429e-ae67-de42380c7878,2115396c-90b5-44f9-9d70-0a7bb92ce057,2024-08-25,False,False
1b772c85-9e08-4c0e-ba06-c711d6e0b2a9,ea9fb406-ba30-4792-b9d0-b6646dd67e43,2026-01-09,True,False
2d907d66-21ba-49e3-90b1-7687ac64aeee,b51e109c-91e5-4fd4-8ed2-8f8130d360f5,2025-05-16,False,False
f12aca86-6536-47a5-985c-6ccddfcd6d22,84aa1b67-adea-4619-9f39-66d1a87ddd05,2026-02-11,True,False
5e16114e-afb3-44ac-bd82-f716490ff81a,3a39557c-0678-4ea8-9a69-bfcfd008ff7c,2024-12-07,True,False
f87f9e8a-4166-4322-8fc2-630b6faf3164,491cc532-519c-4811-9093-9e37bc205ed6,2024-12-18,True,False
9e73ab8b-df95-49a6-8e3c-562042408085,8ee237e0-44f1-4274-b7c7-dc6926c3741e,2024-05-24,False,False
c0cc2ff0-86d4-422d-abd8-336816e4ad00,096e7d4a-0fc5-4882-8c7e-c4cc00e8b4cb,2024-09-17,True,False
dddf4427-46b0-4826-802c-2b20e1482d21,421a9e59-8efd-46d6-b5d1-ebb7676ca67f,2025-06-13,True,False
2db88114-915b-43ba-9d1c-9324b815e037,6e31cbc5-ef4d-40a0-bea3-0bb90746bd94,2026-02-14,True,False
1f592df5-7316-4f24-9ff2-a3b0cc87d31c,69673ed9-7713-43bd-a88f-d5760403148e,2024-11-11,False,False
b7969dd3-bbb9-49e5-bf5e-6e3a0ddc43cf,a0c3ed42-7229-46bb-8f6a-62838c9092cf,2025-09-17,False,False
1bc7a72f-e2f1-4df2-8e0b-56afd8806e74,aeac33d8-5e4b-4176-8567-3a0bcea31f6a,2025-03-14,True,False
4ca3b33d-8d2d-4269-a97e-8b0a6e538a6f,c915228d-f99a-497a-94f6-a621401fae66,2025-12-03,False,False
a6da59a7-dcf1-4db1-a8f6-f7dd9659333b,4ce50dae-1d98-4c30-ad9c-e2f16bd13824,2025-12-26,True,False
db242d5d-3ddd-4d7b-ac10-b8d4bcb85f1b,4bd9ebab-b147-4899-a924-2841476b96fd,2024-06-09,True,False
8451a445-d940-44b3-be48-9b6cd8d4dc64,291c5c19-0c76-4f02-95bc-9ae31b2a987a,2024-04-13,True,False
108f1d02-58f2-4053-b2e9-db895b06c727,8f215d87-912d-43f2-893c-30490e502ee8,2025-02-28,False,False
e2a97fca-4da3-426a-9c11-3b32b4dae967,6d89c722-636f-44a8-81f0-2729c637f7bf,2025-05-13,True,False
29ea34a6-68cf-44e8-b6d0-644feaf866e1,9020d283-ab39-4670-aa92-2230066a6b80,2025-08-25,False,False
e28b2307-0b0e-444e-bf31-41f0b3f07cd0,3732f8ff-fcd0-4e16-bfb5-0d4e9885167d,2026-01-11,True,False
9e93b7d1-6748-438c-bc9c-0ab7fbee0f9d,59e9ae9e-39a6-48f2-9226-a65b120d238c,2025-08-03,True,False
97e27921-babe-46be-9afa-e15e3c90e81b,930bdddb-d4cb-4ca9-ab98-7cb8c0dbe1fb,2025-04-26,False,False
92171b41-426c-4e18-a8ce-217072f31fe7,bb442f31-43d6-4ec6-8d2f-29e36b6a351f,2024-09-05,True,False
f73c6be0-6329-4ee8-b75a-72424c00cbc0,66c5885d-b009-42f0-898c-dfa105a83cab,2025-12-02,True,False
5000285a-4c75-4fef-8057-e5ea54b6fc92,1533a50d-2266-4196-954c-67fa2a3c98a9,2024-06-04,True,False
4ca5a346-76d3-4c23-affd-52c52bd2f921,9e93b7d1-6748-438c-bc9c-0ab7fbee0f9d,2026-04-08,True,False
70f233cb-f3d5-43a8-ad8a-55ba8c23a5bf,91d1329f-66f0-40ee-9a40-31be16f34792,2025-04-06,False,False
14a1b83f-9003-4469-aa14-2ab68769dbd4,a36a8459-f6d8-4be6-be47-5556a801c859,2024-10-17,True,False
421a9e59-8efd-46d6-b5d1-ebb7676ca67f,fd4af04c-5f58-4a30-9c53-b0c686d705e6,2025-03-08,True,False
2d2623d7-23b0-48c9-841b-c8165540da39,cd8baa71-1bd2-42b1-9a45-af3e0a750996,2025-03-21,False,False
5d4cb520-39c7-4aed-ac3a-755a852fabe8,9f2185dc-c783-40c4-b662-614f0ec2da37,2026-01-15,True,False
95490278-6fca-4bca-86e8-eaa94b5ad345,bdc474ea-472a-4840-b4e9-442f4139093a,2026-04-06,False,False
de01c898-0ec4-4707-be69-9088806aaed5,a224ae95-bcc1-4dd3-b9fd-153fdfbbd2af,2026-01-31,True,False
02033b10-b613-4fd3-9d59-1688b72175d0,1f592df5-7316-4f24-9ff2-a3b0cc87d31c,2026-03-23,True,False
51e0e11a-fea3-4ce4-a242-663d488f311e,abf9dea5-f595-421f-8fd4-906e4ce86554,2024-08-01,False,False
b3bec54f-cd62-4deb-a722-a81af2eac3a1,72cc5284-4329-4123-9a43-97d24a77c5a9,2024-10-18,False,False
3d094d12-59a7-4781-98f2-f2876aa0ad83,351a7b4a-3bfd-431f-ae73-38d31c0e2e6d,2025-09-30,True,False
02e1f597-1b37-46bf-833b-3d3f3f44ed0e,5bdd78d7-2c37-4c8f-aaa1-0ffab42290bb,2024-06-08,False,False
cb31f1ca-b750-43ba-879d-46e73f9ed877,cad3c90d-d36e-4fd8-8aa1-4cbb69febd8c,2024-05-23,True,False
83293f09-74e1-49e8-bc97-c6a91641d2b8,94121405-3ffd-417d-aef4-43f3931fb327,2026-03-31,True,False
c451a6f4-57a3-49d6-b385-f79798fe9391,b0d5cf9d-c143-4663-992f-7d1b74962fc9,2025-09-12,True,False
e2a18b62-5b9c-4f56-88a3-500db0fe764d,4ae9ca4b-b1a0-4cc9-8388-d7239c6d0ac1,2024-07-10,True,False
402718b9-e2e8-4da9-a174-e046635adfa0,66bce73c-2746-424c-a547-4f9b1328e7ea,2025-10-13,True,False
92ebb0e0-6d19-4784-ac37-aff4b1b51335,84679d57-d2a6-4d8b-baf3-6799488d6aa2,2024-05-01,True,False
a5296c9e-c0a9-4506-aea0-097d00dbdd4b,019ee618-1f51-455d-83ff-ae837039b9b9,2025-08-05,True,False
c451a6f4-57a3-49d6-b385-f79798fe9391,559e347b-5d20-41b6-a1c6-341ae1c4c40f,2024-11-18,False,False
8d63aa48-d3f4-44c5-94fe-b21966c5f0a6,26b5dcf1-070f-49d9-abc8-b7b4b4a54f6c,2026-03-27,True,False
c779fade-6125-4bf1-b106-66c860af3368,21cef61d-ab42-49e1-8048-09c63daad460,2025-01-07,True,False
72cc5284-4329-4123-9a43-97d24a77c5a9,44d3740b-6c03-47d0-8503-a8185a3cf764,2026-01-16,False,False
27cac934-998a-47fb-a335-db1ef8369088,cb4569bb-c507-44d5-b70d-5ab15ebb28fe,2026-04-08,True,False
cb89811c-a036-41f2-b210-3db56a3ead7c,5fec841b-fd8e-4151-a7f7-35f6923ca0ee,2025-06-30,True,False
647d5a40-a897-4787-868a-f1d9a1c68d31,a5791f18-83f0-4126-a11f-01dbe70630d3,2025-04-03,True,False
4b16115c-f88e-4730-9281-552ef346823e,d5af1eac-de4b-422f-a5ab-bd27459f2e98,2025-01-08,False,False
463b416a-8a2f-4198-9851-5845b83614a2,40cb661c-5334-4674-a9ad-66d7587886db,2025-09-04,True,False
d485b8aa-8371-483f-b30d-6023a16cc539,8603479e-3f70-4188-8447-bde98e93560f,2024-06-27,True,False
7aab3709-5e67-4d9c-ae27-cafa5d55bef9,4fd36d24-66a1-47c8-8d55-7166c7694969,2024-10-18,True,False
bfe3cb23-ce61-4111-922a-d1c7f9707237,f032264c-d57c-425f-bf36-ef154a0268f2,2024-05-01,True,False
9ff471c2-c93f-4a5d-8419-e3fefc5c23af,8dcdb23b-d1d7-49f6-aa63-d56b7a42ffdf,2024-07-01,True,False
